KeyFrame         Bounding Boxes
{'resize_time': 0.0016410350799560547, 'preprocessing_time': 0.007060050964355469, 'craftnet_time': 1.5941450595855713, 'refinenet_time': 0.6170477867126465, 'postprocess_time': 0.0304262638092041}1614,32,1824,32,1824,77,1614,77
1695,77,1773,77,1773,98,1695,98
1635,80,1647,80,1647,92,1635,92
131,142,852,137,852,203,131,207
137,209,643,215,642,260,137,254
200,302,816,302,816,367,200,367
200,365,817,375,816,437,199,427
200,451,1187,451,1187,514,200,514
197,520,807,520,807,583,197,583
1474,669,1692,669,1692,699,1474,699
1378,705,1549,705,1549,741,1378,741
1596,705,1770,705,1770,744,1596,744
349,723,1085,723,1085,777,349,777
1375,753,1525,753,1525,789,1375,789
1596,753,1770,753,1770,792,1596,792
532,777,906,777,906,831,532,831
1375,798,1770,798,1770,840,1375,840
170,846,1504,846,1504,885,170,885
544,891,1073,891,1073,924,544,924
347,897,410,903,409,925,345,920
17,909,80,909,80,924,17,924
1845,909,1902,909,1902,927,1845,927
1641,924,1788,924,1788,951,1641,951
205,943,355,937,357,972,206,978
1010,945,1181,941,1181,964,1011,968
469,942,642,942,642,977,469,977
711,942,822,942,822,980,711,980
1180,945,1575,933,1576,980,1181,992
1656,945,1776,945,1776,971,1656,971
20,962,723,962,723,995,20,995
771,965,912,965,912,995,771,995
1004,968,1145,968,1145,995,1004,995
1827,977,1884,977,1884,995,1827,995
1 :     
{'resize_time': 0.0016181468963623047, 'preprocessing_time': 0.00647282600402832, 'craftnet_time': 1.198256015777588, 'refinenet_time': 0.6120061874389648, 'postprocess_time': 0.028996944427490234}1614,32,1824,32,1824,77,1614,77
1695,77,1797,77,1797,98,1695,98
1635,80,1647,80,1647,92,1635,92
131,142,852,137,852,203,131,207
137,209,643,215,642,260,137,254
200,302,816,302,816,367,200,367
200,365,817,375,816,437,199,427
200,451,1187,451,1187,514,200,514
197,520,807,520,807,583,197,583
1474,669,1692,669,1692,699,1474,699
1378,705,1549,705,1549,741,1378,741
1596,705,1770,705,1770,744,1596,744
349,723,1085,723,1085,777,349,777
1375,753,1525,753,1525,789,1375,789
1596,753,1770,753,1770,792,1596,792
532,777,906,777,906,831,532,831
1375,798,1770,798,1770,840,1375,840
170,846,1504,846,1504,885,170,885
544,891,1073,891,1073,924,544,924
17,909,80,909,80,924,17,924
1845,909,1902,909,1902,927,1845,927
1641,924,1788,924,1788,951,1641,951
205,943,355,937,357,972,206,978
1010,945,1181,941,1181,964,1011,968
469,942,642,942,642,977,469,977
711,942,822,942,822,980,711,980
1177,945,1575,933,1576,980,1178,992
1656,945,1776,945,1776,971,1656,971
20,962,723,962,723,995,20,995
789,961,913,968,911,997,788,989
1004,968,1145,968,1145,995,1004,995
1827,977,1884,977,1884,995,1827,995
2 :     
{'resize_time': 0.0015799999237060547, 'preprocessing_time': 0.006451129913330078, 'craftnet_time': 1.3152470588684082, 'refinenet_time': 0.6572108268737793, 'postprocess_time': 0.030217885971069336}1614,32,1824,32,1824,77,1614,77
1695,77,1773,77,1773,98,1695,98
1635,80,1647,80,1647,92,1635,92
131,142,852,137,852,203,131,207
137,209,643,215,642,260,137,254
200,302,816,302,816,367,200,367
200,365,817,375,816,437,199,427
200,451,1187,451,1187,514,200,514
197,520,807,520,807,583,197,583
1474,669,1692,669,1692,699,1474,699
1378,705,1549,705,1549,741,1378,741
1596,705,1770,705,1770,744,1596,744
349,723,1085,723,1085,777,349,777
1375,753,1525,753,1525,789,1375,789
1596,753,1770,753,1770,792,1596,792
532,777,906,777,906,831,532,831
1375,798,1770,798,1770,840,1375,840
170,846,1504,846,1504,885,170,885
544,891,1073,891,1073,924,544,924
347,897,410,903,409,925,345,920
17,909,80,909,80,924,17,924
1845,909,1902,909,1902,927,1845,927
1641,924,1785,924,1785,951,1641,951
205,943,355,937,357,972,206,978
1010,945,1181,941,1181,964,1011,968
469,942,642,942,642,977,469,977
711,942,819,942,819,980,711,980
1176,948,1470,931,1473,981,1179,997
1537,942,1576,942,1576,980,1537,980
1656,945,1776,945,1776,971,1656,971
20,962,723,962,723,995,20,995
771,965,912,965,912,995,771,995
1004,968,1145,968,1145,995,1004,995
1827,977,1884,977,1884,995,1827,995
3 :     
{'resize_time': 0.0015790462493896484, 'preprocessing_time': 0.006459951400756836, 'craftnet_time': 1.338146686553955, 'refinenet_time': 0.6539120674133301, 'postprocess_time': 0.028461933135986328}1614,32,1824,32,1824,77,1614,77
1695,77,1773,77,1773,98,1695,98
1635,80,1647,80,1647,92,1635,92
131,142,852,137,852,203,131,207
137,209,643,215,642,260,137,254
200,302,816,302,816,367,200,367
200,365,817,375,816,437,199,427
200,451,1187,451,1187,514,200,514
197,520,807,520,807,583,197,583
1474,669,1692,669,1692,699,1474,699
1378,705,1549,705,1549,741,1378,741
1596,705,1770,705,1770,744,1596,744
349,723,1085,723,1085,777,349,777
1375,753,1525,753,1525,789,1375,789
1596,753,1770,753,1770,792,1596,792
532,777,906,777,906,831,532,831
1375,798,1770,798,1770,840,1375,840
170,846,1504,846,1504,885,170,885
544,891,1073,891,1073,924,544,924
287,893,428,904,426,927,286,916
17,909,80,909,80,924,17,924
1845,909,1902,909,1902,927,1845,927
1641,924,1791,924,1791,974,1641,974
184,942,337,937,338,976,185,980
1025,942,1160,937,1161,964,1026,968
1000,957,1446,931,1449,978,1002,1003
451,942,628,942,628,980,451,980
694,936,914,954,910,1004,690,988
1519,942,1602,942,1602,983,1519,983
1656,945,1689,945,1689,968,1656,968
21,960,723,965,723,1000,20,995
1827,977,1884,977,1884,995,1827,995
4 :     
{'resize_time': 0.0015001296997070312, 'preprocessing_time': 0.006421089172363281, 'craftnet_time': 1.2413809299468994, 'refinenet_time': 0.6546480655670166, 'postprocess_time': 0.027815818786621094}1614,32,1824,32,1824,77,1614,77
1695,77,1773,77,1773,98,1695,98
1635,80,1647,80,1647,92,1635,92
131,142,852,137,852,203,131,207
137,209,643,215,642,260,137,254
200,302,816,302,816,367,200,367
200,362,817,378,815,439,199,424
200,451,1187,451,1187,514,200,514
197,520,807,520,807,583,197,583
1474,669,1692,669,1692,699,1474,699
1378,705,1549,705,1549,741,1378,741
1596,705,1770,705,1770,744,1596,744
349,723,1085,723,1085,777,349,777
1375,753,1525,753,1525,789,1375,789
1596,753,1770,753,1770,792,1596,792
535,780,906,780,906,831,535,831
1375,798,1770,798,1770,840,1375,840
170,846,1504,846,1504,885,170,885
544,891,1073,891,1073,924,544,924
287,900,424,900,424,924,287,924
17,909,80,909,80,924,17,924
1845,909,1902,909,1902,927,1845,927
1641,924,1788,924,1788,974,1641,974
1010,942,1142,937,1143,964,1011,968
169,943,319,937,321,972,170,978
1000,949,1587,929,1589,980,1002,1000
430,942,607,942,607,977,430,977
675,942,792,942,792,983,675,983
771,962,912,962,912,995,771,995
21,963,708,968,708,1000,20,995
1827,977,1884,977,1884,995,1827,995
5 :     
{'resize_time': 0.0016028881072998047, 'preprocessing_time': 0.006482124328613281, 'craftnet_time': 1.2462928295135498, 'refinenet_time': 0.6568789482116699, 'postprocess_time': 0.028631925582885742}1614,32,1824,32,1824,77,1614,77
1695,77,1797,77,1797,98,1695,98
1635,80,1647,80,1647,92,1635,92
131,142,852,137,852,203,131,207
137,209,643,215,642,260,137,254
200,300,816,304,816,368,200,364
200,365,817,375,816,437,199,427
200,451,1187,451,1187,514,200,514
197,520,807,520,807,583,197,583
1474,669,1692,669,1692,699,1474,699
1378,705,1549,705,1549,741,1378,741
1596,705,1770,705,1770,744,1596,744
349,723,1085,723,1085,777,349,777
1375,753,1525,753,1525,789,1375,789
1596,753,1770,753,1770,792,1596,792
532,777,906,777,906,831,532,831
1375,798,1770,798,1770,840,1375,840
170,846,1504,846,1504,885,170,885
544,891,1073,891,1073,924,544,924
258,891,410,902,409,925,256,914
17,909,80,909,80,924,17,924
1845,909,1902,909,1902,927,1845,927
1641,924,1788,924,1788,974,1641,974
148,942,301,938,302,975,149,979
1001,946,1124,939,1125,962,1002,969
